,xcoordinate,ycoordinate,Landmark,ScreenshotNo
62,849.4661146,317.1161061,bon hoogly auto stand,2
63,852.8419807,315.4281731,bon hoogly auto stand,2
64,518.631232,173.6417948,isi allahabad bank atm,2
65,518.631232,177.017661,isi allahabad bank atm,2
66,518.631232,175.3297279,isi allahabad bank atm,2
67,516.943299,175.3297279,isi allahabad bank atm,2
68,520.3191651,177.017661,isi allahabad bank atm,2
69,516.943299,178.7055941,isi allahabad bank atm,2
70,1143.166469,418.3920906,maa kali temple,2
71,1143.166469,418.3920906,maa kali temple,2
72,1144.854403,418.3920906,maa kali temple,2
73,1144.854403,420.0800237,maa kali temple,2
74,1143.166469,423.4558898,maa kali temple,2
75,1146.542336,420.0800237,maa kali temple,2
76,1089.152611,332.3075038,milan bar and restaurant,2
77,1087.464678,335.68337,milan bar and restaurant,2
78,1089.152611,333.9954369,milan bar and restaurant,2
79,1085.776745,333.9954369,milan bar and restaurant,2
80,1090.840544,335.68337,milan bar and restaurant,2
81,1089.152611,330.6195707,milan bar and restaurant,2
82,1190.428596,487.5973466,new hotel,2
83,1188.740662,492.6611459,new hotel,2
84,1188.740662,490.9732128,new hotel,2
85,1190.428596,490.9732128,new hotel,2
86,1190.428596,492.6611459,new hotel,2
87,1187.052729,492.6611459,new hotel,2
88,1195.492395,629.3837249,sheraton bar and resaurant,2
89,1192.116529,631.0716579,sheraton bar and resaurant,2
90,1197.180328,631.0716579,sheraton bar and resaurant,2
91,1198.868261,631.0716579,sheraton bar and resaurant,2
92,1193.804462,634.4475241,sheraton bar and resaurant,2
93,1193.804462,627.6957918,sheraton bar and resaurant,2
94,1196.81,630,sheraton bar and resaurant,2
95,243.4981409,669.8941186,isi staff quarter,2
96,246.8740071,669.8941186,isi staff quarter,2
97,245.186074,668.2061856,isi staff quarter,2
98,245.186074,669.8941186,isi staff quarter,2
99,243.4981409,671.5820517,isi staff quarter,2
100,245.186074,668.2061856,isi staff quarter,2
101,832.5867838,740.7873078,isi hostel campus,2
102,830.8988508,742.4752408,isi hostel campus,2
103,830.8988508,739.0993747,isi hostel campus,2
104,830.8988508,742.4752408,isi hostel campus,2
105,832.5867838,742.4752408,isi hostel campus,2
106,832.5867838,739.0993747,isi hostel campus,2
107,1161.733733,629.3837249,laxmi bhandar,2
108,1160.0458,627.6957918,laxmi bhandar,2
109,1163.421666,627.6957918,laxmi bhandar,2
